;text;Weather;Clock;Calendar;Map;Phone;Email;Calculator;Translator;Web search;Social media;Small talk;Message;Reminders;Music
310;Check if there are any new messengers on whatsapp.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
311;What is new with my friend Xiaoyu on wechat?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
312;What is new in the telegram group ?X2021??;0;0;0;0;0;0;0;0;0;1;0;0;0;0
313;Show me the latest post of Xiaoming on Ins.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
314;Show me the possible position of stage in the facebook group ?X2021?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
315;Are there any outside activity in January in the facebook group ?X-Chine?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
383;Show me Elon Musk's latest tweet.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
557;Post 'Going for a run' to Facebook.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
558;Upload a photo to Instagram.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
559;Update my LinkedIn status.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
560;What are my latest twitter notifications?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
561;Send a WhatsApp message to John.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
562;What are my Instagram friend's latest posts?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
563;What is the latest trend on TikTok?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
564;How many LinkedIn followers do I have?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
565;Can you help me create a Twitter account?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
566;What are some popular Pinterest pages about home decor?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
567;Can you show me my Snapchat profile?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
568;Can you send a friend request to Sarah on Facebook?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
569;Can you help me to increase my TikTok engagement?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
570;Can you show me how to change my Instagram privacy settings?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
571;Can you help me to schedule my Twitter post?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
572;Can you give me suggestions on how to improve my LinkedIn profile?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
573;Can you give me a list of my Facebook friends?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
574;Can you show me the analytics for my Instagram page?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
575;Can you give me a list of my WhatsApp groups?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
576;Can you show me the insights for my TikTok posts?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
66;Youtube;0;0;0;0;0;0;0;0;1;0;0;0;0;0
67;Instagram;0;0;0;0;0;0;0;0;1;0;0;0;0;0
68;Golden Globes 2023 Nominees;0;0;0;0;0;0;0;0;1;0;0;0;0;0
69;Queen of the Cannes Film Festival;0;0;0;0;0;0;0;0;1;0;0;0;0;0
70;Noble Laureates;0;0;0;0;0;0;0;0;1;0;0;0;0;0
71;Fields medalists;0;0;0;0;0;0;0;0;1;0;0;0;0;0
72;World Cup winner;0;0;0;0;0;0;0;0;1;0;0;0;0;0
106;www.;0;0;0;0;0;0;0;0;1;0;0;0;0;0
112;google;0;0;0;0;0;0;0;0;1;0;0;0;0;0
129;https:;0;0;0;0;0;0;0;0;1;0;0;0;0;0
135;overleaf;0;0;0;0;0;0;0;0;1;0;0;0;0;0
143;gg;0;0;0;0;0;0;0;0;1;0;0;0;0;0
152;google;0;0;0;0;0;0;0;0;1;0;0;0;0;0
158;Gmail;0;0;0;0;0;0;0;0;1;0;0;0;0;0
184;how to ;0;0;0;0;0;0;0;0;1;0;0;0;0;0
298;What is the best platform for a professional email?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
299;How do I separate which emails are professional and personal?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
300;Should I use different email systems for different purposes?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
301;What does a standard day's worth of phone calls look like?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
302;What are the steps to make an important phone call?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
303;What should I do before calling someone new?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
304;What makes a phone call successful?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
305;How should I answer a phone call from a potential employer?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
306;How would I answer an unexpected phone call from someone important?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
307;What is the best way to start a text conversation?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
368;What's the news?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
370;"What's the definition of ""beguiling"" ?";0;0;0;0;0;0;0;0;1;0;0;0;0;0
377;Can you give me the recipe for brownies?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
378;Can you give me the latest stock market update?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
538;Google the latest iPhone model.;0;0;0;0;0;0;0;0;1;0;0;0;0;0
541;Find information on the history of the internet.;0;0;0;0;0;0;0;0;1;0;0;0;0;0
542;What is the stock market?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
543;Who is the president of France?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
545;Define the word 'antidisestablishmentarianism'.;0;0;0;0;0;0;0;0;1;0;0;0;0;0
546;How do I change a flat tire?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
547;What are some reviews for the movie 'Jurassic Park'?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
548;What are some news articles about COVID-19?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
549;What are the top results for 'best laptop' ?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
550;What are some images of the Grand Canyon?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
551;Can you show me videos of how to make sushi?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
552;What are some websites about learning to code?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
553;What are some books about personal finance?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
554;What are some podcasts about true crime?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
555;Can you give me some statistics on the GDP of the US?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
556;What are some quotes about leadership?;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;How can I translate this website to Japanese?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;"What is ""caoutchouc"" in English?";0;0;0;0;0;0;0;1;0;0;0;0;0;0
59;"Translate ""Ti amo"" to English.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
60;"""Happy new year"" in Vietnamese.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
61;"""Beware of the pickpockets"" in Japanese.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
62;"""Take care of yourself"" in Chinese.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
63;"""What a nice weather""in French.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
64;"""Please give me 5 dollar"" in Russian.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
65;Translate this text message from Portuguese to English.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
126;"""Vous avez besoin d'aide?"" in English.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
131;Please open google translate. ;0;0;0;0;0;0;0;1;0;0;0;0;0;0
142;"Translate the following sentence into German: ""What time do you have lunch?""";0;0;0;0;0;0;0;1;0;0;0;0;0;0
164;"""Do you like me?"" in Chinese.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
176;"""What's the weather like today?"" in Russian.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
186;"""How are you?"" in French.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
194;"""I'm very happy!"" in Japanese.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
205;"Translate the following sentence into French: ""What time do you wake up today?""";0;0;0;0;0;0;0;1;0;0;0;0;0;0
290;How can I say hello in Chinese?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
291;What is the meaning of ?d‚mocratie? in Chinese?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
292;Translate this phrase in French.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
293;Show me what this means in Chinese.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
294;I have a Chinese friend and I want to say happy new year in Chinese.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
295;How can I recommend some traditional Chinese Festivals to foreigners?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
296;Translate this poem into French.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
297;What is the name of Gandhi in Chinese.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
388;"Spell ""revolution"" in Arabic.";0;0;0;0;0;0;0;1;0;0;0;0;0;0
389;"How do you say ""professor"" in Mandarin ?";0;0;0;0;0;0;0;1;0;0;0;0;0;0
519;Translate 'How are you?' to French.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
520;What does 'Guten Morgen' mean in English?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
521;How do you say 'apple' in Spanish?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
522;Can you read this Chinese text?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
523;What language is this?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
524;Translate this text to English.;0;0;0;0;0;0;0;1;0;0;0;0;0;0
525;What is the opposite word of 'big' in German?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
526;Can you translate my speech to Japanese?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
527;What is the Italian word for 'book'?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
528;Can you translate this webpage to Arabic?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
529;Can you help me with this language homework?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
530;Can you translate this menu to Portuguese?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
531;Can you help me with pronunciation for this Spanish word 'casa'?;0;0;0;0;0;0;0;1;0;0;0;0;0;0
